stock_code,name,description,size,on_sale,sale_price,price,unit_price,datetime
271818,Ceres Organics Coconut Cream Creamy & Unsweetened can 400ml,Creamy and unsweetened,can 400ml,False,,4.25,$1.06/100G,2017-05-28 14:00:23
381895,Earthcare Toilet Paper  6pk Double Lenght Sky White 6pk,,6pk,False,,5.0,$0.19/100SS,2017-05-28 14:00:22
701227,Earthwise  Dishwash Liquid 500ml,,500ml,False,,3.99,$0.80/100ML,2017-05-28 14:00:23
504018,Earthwise Dishwash Liquid Pink Grapefruit 1l,,1l,False,,7.0,$0.70/100ML,2017-05-28 14:00:23
797559,Ecostore Dishwash Liquid Grapefruit 1l,"Powerful formulation for sparkling clean dishes, while being kinder to your skin and to our environment.",1l,False,,7.39,$0.74/100ML,2017-05-28 14:00:23
701108,Ecostore Dishwash Liquid Grapefruit 500ml,"Powerful formulation for sparkling clean dishes, while being kinder to your skin and to our environment.",500ml,True,3.19,3.95,$0.64/100ML,2017-05-28 14:00:23
260803,Green & Blacks Chocolate Block Organic Dark Chocolate 100g,,100g,True,3.5,3.89,$3.50/100G,2017-05-28 14:00:22
701829,Lupi Olive Oil Organic Extra Virgin 750ml,,750ml,False,,15.0,$2.00/100ML,2017-05-28 14:00:22
700630,Macro Organic Mustard Dijon 200g,,200g,True,2.99,3.49,,2017-05-28 14:00:22
700631,Macro Organic Mustard Wholegrain 200g,,200g,True,2.99,3.49,,2017-05-28 14:00:23
281739,Mainland Cheese Block Organic Cheddar 500g,Mainland organic cheddar is a mild cheddar cheese made from certified organic milk.,500g,False,,11.0,$22.00/1KG,2017-05-28 14:00:22
887052,Pics Peanut Butter Crunchy 1kg,,1kg,True,16.5,18.49,$16.50/1KG,2017-05-28 14:00:23
360257,Pics Peanut Butter Crunchy 380g,,380g,False,,6.5,$1.71/100G,2017-05-28 14:00:23
